Original_Image,Augmented_Image,Augmentation_Type
Q3S6DA4SUP.jpg,aug_ai_00001.jpg,horizontal_flip
1024_woman_SD_0568.jpg,aug_ai_00002.jpg,masking
6AF61RJWBX.jpg,aug_ai_00003.jpg,masking
KMDYF02IK2.jpg,aug_ai_00004.jpg,rotation
5ABZN4ISJF.jpg,aug_ai_00005.jpg,color_jitter
celebdf_train_id37_id31_0001_frame120_face4.jpg,aug_ai_00006.jpg,brightness_shift
H9XAMUS4TN.jpg,aug_ai_00007.jpg,color_jitter
YUVN3PMJKC.jpg,aug_ai_00008.jpg,masking
E0A16HON2U.jpg,aug_ai_00009.jpg,brightness_shift
0PYGWGT9YN.jpg,aug_ai_00010.jpg,noise_injection
fake_Face2Face_910_911_1.jpg,aug_ai_00011.jpg,masking
GFLB1J6IP8.jpg,aug_ai_00012.jpg,horizontal_flip
TZ2F4BBQUE.jpg,aug_ai_00013.jpg,horizontal_flip
ai_detect_fake_721_20241130165642_A_close-up_shot_of_a_elderly_male_person_of_Middle.jpg,aug_ai_00014.jpg,rotation
UZ1NLX4JP8.jpg,aug_ai_00015.jpg,color_jitter
dfdc_train_fake_ehdkmxgtxh_118_0.jpg,aug_ai_00016.jpg,noise_injection
3DAVZOU7HX.jpg,aug_ai_00017.jpg,gaussian_blur
8JN241D2KO.jpg,aug_ai_00018.jpg,masking
3DLGXN1LUH.jpg,aug_ai_00019.jpg,brightness_shift
celebdf_train_id49_id52_0006_frame240_face5.jpg,aug_ai_00020.jpg,color_jitter
RSET3AFURJ.jpg,aug_ai_00021.jpg,masking
fake_Deepfakes_437_360_1.jpg,aug_ai_00022.jpg,noise_injection
512_man_SD_0680.jpg,aug_ai_00023.jpg,rotation
dfdc_train_fake_efdyrflcpg_145_0.jpg,aug_ai_00024.jpg,gaussian_blur
SBP98NZ76J.jpg,aug_ai_00025.jpg,color_jitter
dfdc_train_fake_bdgipnyobr_164_0.jpg,aug_ai_00026.jpg,horizontal_flip
BOLNJIL4GP.jpg,aug_ai_00027.jpg,horizontal_flip
BQYBB98ORF.jpg,aug_ai_00028.jpg,rotation
92S83QKQ6D.jpg,aug_ai_00029.jpg,gaussian_blur
dfdc_validation_fake_dulanfulol_164_0.jpg,aug_ai_00030.jpg,color_jitter
R946FNK8EJ.jpg,aug_ai_00031.jpg,rotation
DAZJCNNQEP.jpg,aug_ai_00032.jpg,gaussian_blur
1024_woman_SD_1132.jpg,aug_ai_00033.jpg,noise_injection
44UMS1WJK1.jpg,aug_ai_00034.jpg,color_jitter
dfdc_train_fake_aorjvbyxhw_72_0.jpg,aug_ai_00035.jpg,masking
FE8SI1U9IO.jpg,aug_ai_00036.jpg,noise_injection
celebdf_val_id28_id26_0000_frame60_face3.jpg,aug_ai_00037.jpg,masking
QBDDAG66T4.jpg,aug_ai_00038.jpg,horizontal_flip
738SRVPNNJ.jpg,aug_ai_00039.jpg,gaussian_blur
dfdc_validation_fake_elvvackpjh_270_0.jpg,aug_ai_00040.jpg,rotation
fake_Deepfakes_550_452_0.jpg,aug_ai_00041.jpg,color_jitter
ai_detect_fake_461_20241130154909_A_close-up_shot_of_a_middle-aged_genderqueer_perso.jpg,aug_ai_00042.jpg,masking
dfdc_train_fake_cffffbcywc_180_0.jpg,aug_ai_00043.jpg,rotation
06ZD56DXAG.jpg,aug_ai_00044.jpg,gaussian_blur
dfdc_train_fake_awukslzjra_256_0.jpg,aug_ai_00045.jpg,brightness_shift
4FJJYWWBEB.jpg,aug_ai_00046.jpg,color_jitter
celebdf_val_id31_id38_0002_frame120_face5.jpg,aug_ai_00047.jpg,masking
KUY2AUCLNG.jpg,aug_ai_00048.jpg,horizontal_flip
dfdc_train_fake_dgmevclvzy_242_0.jpg,aug_ai_00049.jpg,color_jitter
fake_FaceSwap_078_955_1.jpg,aug_ai_00050.jpg,noise_injection
dfdc_train_fake_czfunozvwp_135_0.jpg,aug_ai_00051.jpg,color_jitter
fake_NeuralTextures_085_124_0.jpg,aug_ai_00052.jpg,gaussian_blur
QMWROPKHID.jpg,aug_ai_00053.jpg,color_jitter
dfdc_train_fake_aettqgevhz_201_0.jpg,aug_ai_00054.jpg,brightness_shift
768_man_SD_0697.jpg,aug_ai_00055.jpg,rotation
fake_Face2Face_420_257_1.jpg,aug_ai_00056.jpg,brightness_shift
fake_Face2Face_624_570_1.jpg,aug_ai_00057.jpg,brightness_shift
celebdf_test_id21_id29_0006_frame120_face3.jpg,aug_ai_00058.jpg,rotation
